Id,Partition,Code,Description,Type,Extra,Shop,ShopExtra,Brand,BrandType,,,,,
,Public,226DB61,Exhaust Fan Outlet Damper,Damper,1,RMB,,,,,,,,
,Public,226DB63,Mill Departement Outlet Damper,Damper,1,RMB,,,,,,,,
,Public,334DB37,Damper,Damper,2,RMC,,,,,,,,
,Public,334DB38,Damper,Damper,2,Kiln2,,,,,,,,
,Public,105DC03,Bag Filter Exhaust Fan,Bag Filter,1,RMA,,,,,,,,
,Public,106DC27,Bag Filter Exhaust Fan,Bag Filter,1,RMA,,,,,,,,
,Public,114DC07,Exhaust Fan Damper,Bag Filter,1,Crusher,,,,,,,,
,Public,115DC09,Exhaust Fan,Bag Filter,1,Crusher,,,,,,,,
,Public,115DC21,Exhaust Fan,Bag Filter,1,RMA,,,,,,,,
,Public,202DC13,Bag Filter Exhaust Fan,Bag Filter,1,RMA,,,,,,,,
,Public,202DC15,Bag Filter Exhaust Fan,Bag Filter,1,RMA,,,,,,,,
,Public,202DC25,Bag Filter Exhaust Fan,Bag Filter,1,RMA,,,,,,,,
,Public,202DC29,Bag Filter Exhaust Fan,Bag Filter,1,RMA,,,,,,,,
,Public,203DC07,Bag Filter Exhaust Fan,Bag Filter,1,RMA,,,,,,,,
,Public,203DC11,Exhaust Fan,Bag Filter,1,RMA,,,,,,,,
,Public,203DC13,Exhaust Fan,Bag Filter,1,RMA,,,,,,,,
,Public,208DC15,Turbo Blower,Bag Filter,1,Homo,,,,,,,,
,Public,208DC21,Exhaust Fan,Bag Filter,1,Homo,,,,,,,,
,Public,216DC19,Dust Collector Exhaust Fan,Bag Filter,1,RMA,,,,,,,,
,Public,218DC11,Screw Conveyor,Bag Filter,1,Homo,,,,,,,,
,Public,226DC19,Dust Collector Exhaust Fan,Bag Filter,1,RMB,,,,,,,,
,Public,228DC11,Dust Extracting Screw Conveyor Reversive,Bag Filter,1,Homo,,,,,,,,
,Public,312DC44,Exhaust Fan Inlet Damper,Bag Filter,1,Homo,,,,,,,,
,Public,312DC56,Exhaust Fan,Bag Filter,1,Kiln1,,,,,,,,
,Public,312DC64,Exhaust Fan,Bag Filter,1,Kiln1,,,,,,,,
,Public,315DC57,Exhaust Fan,Bag Filter,1,Kiln1,,,,,,,,
,Public,318DC01,Cooler Waste Gas Temp,Bag Filter,1,Cooler1,,,,,,,,
,Public,319DC09,Exhaust Fan,Bag Filter,1,Cooler1,,,,,,,,
,Public,319DC19,Exhaust Fan,Bag Filter,1,Cooler1,,,,,,,,
,Public,319DC21,Exhaust Fan,Bag Filter,1,Cooler1,,,,,,,,
,Public,319DC25,Dust Collector Exhaust Fan,Bag Filter,1,Cooler1,,,,,,,,
,Public,402DC77,Bag Filter Exhaust Fan,Bag Filter,1,CMA,,,,,,,,
,Public,403DC11,Bag Filter Exhaust Fan,Bag Filter,1,CMB,,,,,,,,
,Public,403DC15,Bag Filter Exhaust Fan,Bag Filter,1,CMB,,,,,,,,
,Public,403DC17,Bag Filter Exhaust Fan,Bag Filter,1,CMB,,,,,,,,
,Public,403DC25,Bag Filter Exhaust Fan,Bag Filter,1,CMB,,,,,,,,
,Public,403DC27,Bag Filter Exhaust Fan,Bag Filter,1,CMB,,,,,,,,
,Public,416DC09,Bag Filter Exhaust Fan,Bag Filter,1,CMA,,,,,,,,
,Public,418DC27,Exhaust Fan,Bag Filter,1,CMA,,,,,,,,
,Public,418DC29,Exhaust Fan,Bag Filter,1,CMA,,,,,,,,
,Public,426DC09,Bag Filter Exhaust Fan,Bag Filter,1,CMB,,,,,,,,
,Public,428DC27,Exhaust Fan,Bag Filter,1,CMB,,,,,,,,
