Id,Partition,Code,Description,Brand,BrandType,InstrumentType,SignalType,SupplyVoltage,Wiring,Communication,GalvanicIsolation,OperationalUnit,ScaleRange,LimitHH,LimitH,LimitL,LimitLL,Softawre,ExtraData
,Public,426XY21YT30,Cement Mill Outlet Temperature,SIEMENS ,SITRANCE TF/PT100 Local,Thermometer,4…20mA,24V,2-wire,,,C,0-400,0,0,125,140,,
,Public,416XY33YP10,EP Outlet Gas,KENT ,K-DCA 2-1.41,Pressure Transmitter,4…20mA,24V,2-wire,,,mmH2O,-300,-300,-270,-60,0,,
,Public,416XY33YT10,Bag Filter Gas Inlet Temperature,SIEMENS ,SITRANCE TF/ Local TC TYPE K,Thermometer,4…20mA,24V,2-wire,,,C,0-200,0,0,135,147,,
,Public,416XY21YP10,Cement Mill Outlet Pressure,ABB,KENT K-DCA 2-1.41,Pressure Transmitter,4…20mA,24V,2-wire,,,mmH2o,-300,-300,-150,-60,0,,
,Public,416XY21YT10,Cement Mill 1 Trunnion Brg. Feed Side,LOREME,CNL45/PT100,Thermometer,4…20mA,24V,2-wire,,,C,0-200,0,0,66,70,,
,Public,416XY21YT20,Cement Mill 1 Trunnion Brg. Disch Side,LOREME,CNL45/PT100,Thermometer,4…20mA,24V,2-wire,,,C,0-200,0,0,66,70,,
,Public,416XY21YT30,Cement Mill Outlet Temperature,SIEMENS ,SITRANCE TF/PT100 Local,Thermometer,4…20mA,24V,2-wire,,,C,0-400,0,0,125,140,,
,Public,624WF21YF10,MB Coal Dosing Flow Rate,Schenck,MULTICORE  K50/K80/DISCONT TERSUS,,,,,ProfiBUS,,Kg/h,0-10000,0,0,10000,10000,EASYSERVE,
,Public,624WF21YW10,MB Coal Silo Weigh,Schenck,MULTICORE  K50/K80/DISCONT TERSUS,Weigh Sensor,,,,ProfiBUS,,t ,0-200,0,0,160,170,EASYSERVE,
,Public,624WF15YF10,Calciner Coal Dosing Flow Rate,Schenck,MULTICORE  K50/K80/DISCONT TERSUS,,,,,ProfiBUS,,Kg/h,0-20000,0,1000,20000,20000,EASYSERVE,
,Public,624WF15YW10,Calciner Coal Silo Weigh,Schenck,MULTICORE  K50/K80/DISCONT TERSUS,Weigh Sensor,,,,ProfiBUS,,t ,0-200,0,0,160,170,EASYSERVE,
,Public,623WF13YF10,Raw Coal Weigh Feeder,Schenck,MULTIMODS MTD-1246/DISCONT TERSUS,,,,,ProfiBUS,,t/h,0-46,0,0,45,45,EASYSERVE,
,Public,623WF13YS10,WF13 Belt Speed,Schenck,MULTIMODS MTD-1246/DISCONT TERSUS,Speed/RPM,,,,ProfiBUS,,m/s,0-1,0,0,1,1,,
,Public,623WF13YZ10,WF13 Belt Drift,Schenck,MULTIMODS MTD-1246/DISCONT TERSUS,Other,,,,ProfiBUS,,cm,-20,-4,-3,3,4,,
,Public,623WF05YF10,Raw Coal Weigh Feeder,Schenck,MULTIMODS MTD-1245//DISCONT TERSUS,,,,,ProfiBUS,,t/h,0-45,0,0,45,45,EASYSERVE,
,Public,623WF05YS10,WF05 Belt Speed,Schenck,MULTIMODS MTD-1246/DISCONT TERSUS,Speed/RPM,,,,ProfiBUS,,m/s,0-1,0,0,1,1,,
,Public,623WF05YZ10,WF05 Belt Drift,Schenck,MULTIMODS MTD-1246/DISCONT TERSUS,Other,,,,ProfiBUS,,cm,-20,-4,-3,3,4,,
,Public,426WF05YW10,Additive Weigh Feeder Flow Rate,Schenck, DEM/MICROCONT FCO 421,,4…20mA,230V,4-wire,,,t/h,0-40,0,0,35,40,,
,Public,426WF03YW10,Gypsum Weigh Feeder Flow Rate,Schenck, DEM/MICROCONT FCO 421,,4…20mA,230V,4-wire,,,t/h,0-15,0,0,13,15,,
,Public,426WF01YW10,Clinker Weigh Feeder Flow Rate,Schenck, DEM/MICROCONT FCO 421,,4…20mA,230V,4-wire,,,t/h,0-140,60,70,130,140,,
,Public,322WF05YF10,Kiln Feed Weight Flow Rate,Schenck,MULTICORE  S800/DISCONT ,,4…20mA,230V,4-wire,ProfiBUS,,t/h,0-350,0,0,300,350,EASYSERVE,
,Public,322WF05YW10,Kiln Feed Bin Weight,Schenck,MULTICORE  S800/DISCONT ,Weigh Sensor,4…20mA,230V,4-wire,ProfiBUS,,t ,0-200,10,50,80,95,EASYSERVE,
,Public,226WF15YW10,Irone Ore Weigh Feeder  Flow Rate,Schenck, DEM/MICROCONT FCO 421,,4…20mA,230V,4-wire,,,t/h,0-20,1,3,15,20,,
,Public,226WF13YW10,Additive Weigh Feeder  Flow Rate,Schenck, DEM/MICROCONT FCO 421,,4…20mA,230V,4-wire,,,t/h,0-20,1,3,15,20,,
,Public,226WF11YW10,Clay Weigh Feeder Flow Rate,Schenck,MULTIDOS-MTD-E14445/DISCONT TERSUS,,,,,ProfiBUS,,t/h,0-60,0,10,35,40,EASYSERVE,
,Public,226WF05YW10,Limestone Weigh Feeder Flow Rate,Schenck,MULTIDOS-MTD-E14445/DISCONT TERSUS,,,,,ProfiBUS,,t/h,0-200,0,0,150,190,EASYSERVE,
,Public,216WF15YW10,Irone Ore Weigh Feeder Flow Rate,Schenck, DEM/MICROCONT FCO 421,,4…20mA,230V,4-wire,,,t/h,0-20,1,3,15,20,,
,Public,216WF13YW10,Additive Weigh Feeder Flow Rate,Schenck, DEM/MICROCONT FCO 421,,4…20mA,230V,4-wire,,,t/h,0-20,1,3,15,20,,
,Public,216WF11YW10,Clay Weigh Feeder Flow Rate,Schenck,MULTIDOS-MTD-E14445/DISCONT TERSUS,,,,,ProfiBUS,,t/h,0-60,0,10,35,40,EASYSERVE,
,Public,216WF05YW10,Limestone Weigh Feeder Flow Rate,Schenck,MULTIDOS-MTD-E14445/DISCONT TERSUS,,,,,ProfiBUS,,t/h,0-200,0,0,150,190,EASYSERVE,
,Public,327VV26YZ10,HS Inclination Position,IKN,MRGE.01.0000,Positioner,4…20mA,24V,2-wire,,,°,0-90,0,0,90,90,,
,Public,326TH04YP10,Thrust Roller Prssure,TELEMECHANIQUE,P/N:XMLG400D21,Pressure Transmitter,4…20mA,24V,2-wire,,,bar,0-400,0,0,180,190,,
